link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26.0,19.0,-12.0,0.0,50.0,54.0,20.42129909271,-47.996788523079694,68.41808761578969
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,19.0,-13.0,0.0,50.0,54.0,20.42129909271,-48.79620202632666,69.21750111903665
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,26.0,17.0,-12.0,0.0,50.0,54.0,20.42129909271,-57.979027622676625,78.40032671538663
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,27.0,18.0,-11.0,0.0,50.0,54.0,20.42129909271,-61.68797913668286,82.10927822939286
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,23.0,15.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.62489692958775,90.04619602229775
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,25.0,17.0,-12.0,0.0,50.0,54.0,20.42129909271,-62.174237217669436,82.59553631037943
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,25.0,16.0,-11.0,0.0,50.0,54.0,20.42129909271,-65.15684685947826,85.57814595218827
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-67.6875254581965,88.1088245509065
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,21.0,17.0,-14.0,0.0,50.0,54.0,20.42129909271,-70.48569741227149,90.90699650498149
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,20.0,15.0,-12.0,0.0,50.0,54.0,20.42129909271,-73.75076620237003,94.17206529508003
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,15.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.5131990393424,89.9344981320524
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,16.0,-13.0,0.0,50.0,54.0,20.42129909271,-68.09374759486953,88.51504668757953
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,19.0,-15.0,0.0,50.0,54.0,20.42129909271,-69.96392787754435,90.38522697025435
1to2,0,13,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23.0,18.0,-13.0,0.0,50.0,54.0,20.42129909271,-68.02947053619194,88.45076962890194
1to2,0,14,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,19.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-73.49717613113698,93.91847522384698
1to2,0,15,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,13.0,12.0,-12.0,0.0,50.0,54.0,20.42129909271,-78.44040612659333,98.86170521930333
1to2,0,16,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,5,14.0,12.0,-15.0,0.0,50.0,54.0,20.42129909271,-79.74766700890507,100.16896610161507
1to2,0,17,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,21.0,15.0,-14.0,0.0,50.0,54.0,20.42129909271,-70.180914149865,90.602213242575
1to2,0,18,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,20.0,14.0,-15.0,0.0,50.0,54.0,20.42129909271,-70.62423743341458,91.04553652612458
1to2,0,19,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,18.0,10.0,-15.0,0.0,50.0,54.0,20.42129909271,-73.692661929403,94.113961022113
1to2,0,20,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,7,12.0,10.0,-14.0,0.0,50.0,54.0,20.42129909271,-81.87602619435827,102.29732528706828
1to2,0,21,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,8,10.0,8.0,-14.0,0.0,50.0,54.0,20.42129909271,-83.0170097984753,103.4383088911853
1to2,0,22,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,9,10.0,8.0,-12.0,0.0,50.0,54.0,20.42129909271,-82.94404950830594,103.36534860101594
1to2,0,23,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,9,16.0,13.0,-13.0,0.0,50.0,54.0,20.42129909271,-75.04748889776926,95.46878799047926
1to2,0,24,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,11,14.0,10.0,-14.0,0.0,50.0,54.0,20.42129909271,-77.18170921457498,97.60300830728498
1to2,0,25,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,4,15.0,12.0,-15.0,0.0,50.0,54.0,20.42129909271,-77.48015439214771,97.90145348485771
1to2,0,26,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,13.0,8.0,-14.0,0.0,50.0,54.0,20.42129909271,-79.618345988505,100.039645081215
1to2,0,27,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,15.0,12.0,-13.0,0.0,50.0,54.0,20.42129909271,-75.53050084348608,95.95179993619608
1to2,0,28,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,8,10.0,8.0,-15.0,0.0,50.0,54.0,20.42129909271,-83.0207563659519,103.4420554586619
1to2,0,29,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,17.0,14.0,-13.0,0.0,50.0,54.0,20.42129909271,-73.07409642107699,93.49539551378699
1to2,0,30,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,8,17.0,12.0,-14.0,0.0,50.0,54.0,20.42129909271,-74.20102924930205,94.62232834201205
1to2,0,31,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,18.0,14.0,-12.0,0.0,50.0,54.0,20.42129909271,-72.46115576948316,92.88245486219316
1to2,0,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,6,26.0,18.0,-12.0,0.0,50.0,54.0,20.42129909271,-58.833123793556425,79.25442288626643
1to2,0,33,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,25.0,19.0,-12.0,0.0,50.0,54.0,20.42129909271,-67.71954601908104,88.14084511179104
1to2,0,34,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,23.0,18.0,-15.0,0.0,50.0,54.0,20.42129909271,-70.14336362413948,90.56466271684948
1to2,0,35,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,11,25.0,19.0,-11.0,0.0,50.0,54.0,20.42129909271,-63.29687814863993,83.71817724134993
1to2,0,36,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,6,26.0,19.0,-12.0,0.0,50.0,54.0,20.42129909271,-58.802033566204415,79.22333265891442
