link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,6,28,19,-11,0,50,54,20.42129909271,-48.76801309272357,69.18931218543358
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,6,26,18,-12,0,50,54,20.42129909271,-49.436363751383965,69.85766284409397
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,26,17,-12,0,50,54,20.42129909271,-57.979027622676625,78.40032671538663
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,4,25,18,-15,0,50,54,20.42129909271,-65.14291903709791,85.56421812980791
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,23,15,-14,0,50,54,20.42129909271,-69.62489692958775,90.04619602229775
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,11,25,18,-11,0,50,54,20.42129909271,-63.285201839463284,83.70650093217328
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,24,15,-12,0,50,54,20.42129909271,-65.71240241503382,86.13370150774382
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22,17,-13,0,50,54,20.42129909271,-68.19047283357276,88.61177192628276
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,20,16,-15,0,50,54,20.42129909271,-70.97744310949665,91.39874220220665
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19,15,-12,0,50,54,20.42129909271,-73.75076620237003,94.17206529508003
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,22,16,-13,0,50,54,20.42129909271,-69.94477224003055,90.36607133274055
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22,16,-12,0,50,54,20.42129909271,-67.56436856322604,87.98566765593604
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,22,18,-14,0,50,54,20.42129909271,-70.37784713931636,90.79914623202636
