link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,19.0,-13.0,0.0,50.0,54.0,20.42129909271,-48.79749422480614,69.21879331751614
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,18.0,-13.0,0.0,50.0,54.0,20.42129909271,-48.79620202632666,69.21750111903665
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,27.0,18.0,-11.0,0.0,50.0,54.0,20.42129909271,-57.39685417513893,77.81815326784893
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,26.0,18.0,-11.0,0.0,50.0,54.0,20.42129909271,-61.68797913668286,82.10927822939286
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,23.0,15.0,-13.0,0.0,50.0,54.0,20.42129909271,-69.11549729344648,89.53679638615648
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,25.0,15.0,-13.0,0.0,50.0,54.0,20.42129909271,-65.25613784238048,85.67743693509048
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,24.0,16.0,-12.0,0.0,50.0,54.0,20.42129909271,-65.71240241503382,86.13370150774382
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-67.6875254581965,88.1088245509065
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.5623785143582,89.9836776070682
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19.0,15.0,-13.0,0.0,50.0,54.0,20.42129909271,-74.17184743029831,94.59314652300831
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.5131990393424,89.9344981320524
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23.0,16.0,-12.0,0.0,50.0,54.0,20.42129909271,-67.56436856322604,87.98566765593604
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,18.0,-15.0,0.0,50.0,54.0,20.42129909271,-69.96392787754435,90.38522697025435
1to2,0,13,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,18.0,-12.0,0.0,50.0,54.0,20.42129909271,-67.50009150454845,87.92139059725845
1to2,0,14,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,19.0,15.0,-13.0,0.0,50.0,54.0,20.42129909271,-73.07471769559469,93.49601678830469
1to2,0,15,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,13.0,11.0,-14.0,0.0,50.0,54.0,20.42129909271,-80.26855969148164,100.68985878419164
1to2,0,16,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,5,13.0,13.0,-14.0,0.0,50.0,54.0,20.42129909271,-78.95998978153705,99.38128887424705
