link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26.0,18.0,-13.0,0.0,50.0,53.0,20.42129909271,-48.98931812417587,69.41061721688587
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26.0,19.0,-13.0,0.0,50.0,53.0,20.42129909271,-48.98802592569639,69.40932501840639
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,26.0,18.0,-12.0,0.0,50.0,53.0,20.42129909271,-58.15970214087797,78.58100123358797
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,27.0,18.0,-10.0,0.0,50.0,53.0,20.42129909271,-61.355587820444,81.776886913154
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,24.0,15.0,-14.0,0.0,50.0,53.0,20.42129909271,-69.81046393989527,90.23176303260527
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,25.0,17.0,-12.0,0.0,50.0,53.0,20.42129909271,-62.30460901873124,82.72590811144124
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,24.0,14.0,-13.0,0.0,50.0,53.0,20.42129909271,-66.45446590709733,86.87576499980733
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,23.0,17.0,-14.0,0.0,50.0,53.0,20.42129909271,-67.87932439999413,88.30062349270413
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,21.0,17.0,-14.0,0.0,50.0,53.0,20.42129909271,-70.65078346776852,91.07208256047852
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19.0,15.0,-14.0,0.0,50.0,53.0,20.42129909271,-74.73962792472985,95.16092701743985
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,22.0,16.0,-12.0,0.0,50.0,53.0,20.42129909271,-69.6181125983024,90.0394116910124
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,23.0,16.0,-14.0,0.0,50.0,53.0,20.42129909271,-67.7825991612909,88.2038982540009
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,18.0,-14.0,0.0,50.0,53.0,20.42129909271,-69.64009525171059,90.06139434442059
1to2,0,13,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,19.0,-12.0,0.0,50.0,53.0,20.42129909271,-67.70705768324741,88.12835677595741
1to2,0,14,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,5,19.0,16.0,-15.0,0.0,50.0,53.0,20.42129909271,-73.5201819279447,93.9414810206547
1to2,0,15,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,4,14.0,11.0,-18.0,0.0,50.0,53.0,20.42129909271,-80.89405452329012,101.31535361600012
1to2,0,16,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,11,14.0,12.0,-17.0,0.0,50.0,53.0,20.42129909271,-80.17722956957161,100.59852866228161
1to2,0,17,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,15.0,-15.0,0.0,50.0,53.0,20.42129909271,-69.9525618984005,90.3738609911105
1to2,0,18,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,11,20.0,13.0,-13.0,0.0,50.0,53.0,20.42129909271,-70.97307916728388,91.39437825999389
1to2,0,19,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,18.0,9.0,-14.0,0.0,50.0,53.0,20.42129909271,-73.44100389360503,93.86230298631503
1to2,0,20,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,7,10.0,9.0,-16.0,0.0,50.0,53.0,20.42129909271,-83.40190376246849,103.8232028551785
1to2,0,21,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,8,9.0,7.0,-17.0,0.0,50.0,53.0,20.42129909271,-84.79476108021778,105.21606017292778
1to2,0,22,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,9,10.0,9.0,-14.0,0.0,50.0,53.0,20.42129909271,-84.20046750890896,104.62176660161896
1to2,0,23,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,8,17.0,14.0,-14.0,0.0,50.0,53.0,20.42129909271,-74.92333095757132,95.34463005028132
1to2,0,24,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,12,15.0,10.0,-13.0,0.0,50.0,53.0,20.42129909271,-77.9231303607558,98.3444294534658
1to2,0,25,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,11,14.0,12.0,-15.0,0.0,50.0,53.0,20.42129909271,-77.97612078730147,98.39741988001147
1to2,0,26,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,14.0,9.0,-14.0,0.0,50.0,53.0,20.42129909271,-79.97788285626636,100.39918194897636
1to2,0,27,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,15.0,13.0,-14.0,0.0,50.0,53.0,20.42129909271,-76.09419452047575,96.51549361318575
1to2,0,28,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,9,10.0,8.0,-13.0,0.0,50.0,53.0,20.42129909271,-83.22158960813636,103.64288870084636
1to2,0,29,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,18.0,13.0,-13.0,0.0,50.0,53.0,20.42129909271,-73.22079568758024,93.64209478029024
1to2,0,30,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,8,16.0,11.0,-14.0,0.0,50.0,53.0,20.42129909271,-74.35240282433519,94.77370191704519
1to2,0,31,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,18.0,13.0,-14.0,0.0,50.0,53.0,20.42129909271,-72.532200431056,92.953499523766
1to2,0,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,6,26.0,18.0,-12.0,0.0,50.0,53.0,20.42129909271,-58.98134818882051,79.4026472815305
1to2,0,33,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,24.0,18.0,-14.0,0.0,50.0,53.0,20.42129909271,-67.9377766171459,88.3590757098559
1to2,0,34,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,23.0,18.0,-15.0,0.0,50.0,53.0,20.42129909271,-70.32893063444699,90.75022972715699
1to2,0,35,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,9,25.0,18.0,-14.0,0.0,50.0,53.0,20.42129909271,-63.020465059054104,83.4417641517641
1to2,0,36,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,25.0,20.0,-13.0,0.0,50.0,53.0,20.42129909271,-58.671510466363806,79.0928095590738
