link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,19.0,-13.0,0.0,50.0,54.0,20.42129909271,-48.79749422480614,69.21879331751614
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26.0,17.0,-14.0,0.0,50.0,54.0,20.42129909271,-49.50374919614465,69.92504828885465
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,26.0,18.0,-12.0,0.0,50.0,54.0,20.42129909271,-57.979027622676625,78.40032671538663
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,4,25.0,16.0,-15.0,0.0,50.0,54.0,20.42129909271,-65.14291903709791,85.56421812980791
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,24.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-68.71748332463336,89.13878241734336
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,25.0,15.0,-12.0,0.0,50.0,54.0,20.42129909271,-65.72670209547327,86.14800118818327
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,25.0,16.0,-12.0,0.0,50.0,54.0,20.42129909271,-65.71240241503382,86.13370150774382
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-67.6875254581965,88.1088245509065
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.5623785143582,89.9836776070682
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19.0,14.0,-14.0,0.0,50.0,54.0,20.42129909271,-74.59292865822661,95.01422775093661
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.5131990393424,89.9344981320524
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-68.57784164742513,88.99914074013513
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.45452824140307,89.87582733411307
1to2,0,13,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,19.0,-15.0,0.0,50.0,54.0,20.42129909271,-68.07591669980526,88.49721579251526
1to2,0,14,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,19.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-73.49717613113698,93.91847522384698
1to2,0,15,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,12.0,11.0,-14.0,0.0,50.0,54.0,20.42129909271,-80.26855969148164,100.68985878419164
1to2,0,16,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,5,14.0,12.0,-14.0,0.0,50.0,54.0,20.42129909271,-78.95998978153705,99.38128887424705
1to2,0,17,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,20.0,15.0,-15.0,0.0,50.0,54.0,20.42129909271,-70.67265984709016,91.09395893980016
1to2,0,18,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,20.0,14.0,-16.0,0.0,50.0,54.0,20.42129909271,-71.12309901497702,91.54439810768702
1to2,0,19,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,18.0,10.0,-14.0,0.0,50.0,54.0,20.42129909271,-74.21212168788877,94.63342078059877
1to2,0,20,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,9,10.0,9.0,-12.0,0.0,50.0,54.0,20.42129909271,-83.0637502288939,103.4850493216039
1to2,0,21,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,8,9.0,7.0,-14.0,0.0,50.0,54.0,20.42129909271,-83.0170097984753,103.4383088911853
1to2,0,22,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,9,9.0,8.0,-14.0,0.0,50.0,54.0,20.42129909271,-83.99509148958074,104.41639058229075
1to2,0,23,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,9,16.0,14.0,-12.0,0.0,50.0,54.0,20.42129909271,-74.63212489598283,95.05342398869283
1to2,0,24,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,11,15.0,10.0,-14.0,0.0,50.0,54.0,20.42129909271,-77.18170921457498,97.60300830728498
1to2,0,25,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,14.0,12.0,-16.0,0.0,50.0,54.0,20.42129909271,-76.93925653635266,97.36055562906266
1to2,0,26,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,13.0,9.0,-14.0,0.0,50.0,54.0,20.42129909271,-79.618345988505,100.039645081215
1to2,0,27,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,9,15.0,12.0,-15.0,0.0,50.0,54.0,20.42129909271,-75.5831513061018,96.0044503988118
1to2,0,28,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,11,10.0,8.0,-8.0,0.0,50.0,54.0,20.42129909271,-82.43542527522051,102.85672436793051
1to2,0,29,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,18.0,14.0,-14.0,0.0,50.0,54.0,20.42129909271,-73.49517764900529,93.91647674171529
1to2,0,30,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,8,17.0,11.0,-14.0,0.0,50.0,54.0,20.42129909271,-74.20102924930205,94.62232834201205
1to2,0,31,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,17.0,13.0,-14.0,0.0,50.0,54.0,20.42129909271,-73.30331822533974,93.72461731804974
1to2,0,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,6,26.0,18.0,-13.0,0.0,50.0,54.0,20.42129909271,-59.28088498758615,79.70218408029615
1to2,0,33,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,24.0,18.0,-13.0,0.0,50.0,54.0,20.42129909271,-67.19042211979271,87.61172121250272
1to2,0,34,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,22.0,17.0,-15.0,0.0,50.0,54.0,20.42129909271,-71.04902858313665,91.47032767584665
1to2,0,35,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,25.0,19.0,-12.0,0.0,50.0,54.0,20.42129909271,-62.18591352684608,82.60721261955608
1to2,0,36,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,6,25.0,20.0,-13.0,0.0,50.0,54.0,20.42129909271,-59.24979476023414,79.67109385294414
1to2,0,37,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,16.0,-12.0,0.0,50.0,54.0,20.42129909271,-67.67803425081817,88.09933334352817
1to2,0,38,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,18.0,14.0,-14.0,0.0,50.0,54.0,20.42129909271,-74.6365138283556,95.0578129210656
1to2,0,39,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,8,17.0,15.0,-15.0,0.0,50.0,54.0,20.42129909271,-75.85083618435391,96.27213527706391
1to2,0,40,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,11,16.0,14.0,-12.0,0.0,50.0,54.0,20.42129909271,-77.04173292382616,97.46303201653616
1to2,0,41,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23.0,18.0,-13.0,0.0,50.0,54.0,20.42129909271,-68.1216913818324,88.5429904745424
1to2,0,42,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,19.0,-13.0,0.0,50.0,54.0,20.42129909271,-67.03524466393772,87.45654375664772
1to2,0,43,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,15.0,8.0,-15.0,0.0,50.0,54.0,20.42129909271,-81.30109843683829,101.72239752954829
1to2,0,44,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,15.0,11.0,-15.0,0.0,50.0,54.0,20.42129909271,-77.17145162483534,97.59275071754534
1to2,0,45,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,9,16.0,13.0,-13.0,0.0,50.0,54.0,20.42129909271,-75.51405194848677,95.93535104119677
1to2,0,46,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,8,11.0,9.0,-14.0,0.0,50.0,54.0,20.42129909271,-83.31761663499749,103.7389157277075
1to2,0,47,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,5,19.0,16.0,-13.0,0.0,50.0,54.0,20.42129909271,-72.36359320592781,92.78489229863781
1to2,0,48,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,4,19.0,16.0,-16.0,0.0,50.0,54.0,20.42129909271,-72.70330650162094,93.12460559433094
1to2,0,49,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,16.0,12.0,-14.0,0.0,50.0,54.0,20.42129909271,-76.54243877821722,96.96373787092722
1to2,0,50,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,8,11.0,10.0,-14.0,0.0,50.0,54.0,20.42129909271,-83.12997703469733,103.55127612740733
1to2,0,51,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,13.0,8.0,-18.0,0.0,50.0,54.0,20.42129909271,-78.49671196763008,98.91801106034008
1to2,0,52,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,5,13.0,8.0,-15.0,0.0,50.0,54.0,20.42129909271,-79.48936253960822,99.91066163231822
1to2,0,53,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,15.0,12.0,-14.0,0.0,50.0,54.0,20.42129909271,-76.31633070125733,96.73762979396733
1to2,0,54,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,15.0,12.0,-14.0,0.0,50.0,54.0,20.42129909271,-76.25126387711575,96.67256296982575
1to2,0,55,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,18.0,9.0,-14.0,0.0,50.0,54.0,20.42129909271,-72.95688110156213,93.37818019427213
1to2,0,56,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,20.0,12.0,-18.0,0.0,50.0,54.0,20.42129909271,-71.70367564665396,92.12497473936396
1to2,0,57,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,11,21.0,15.0,-12.0,0.0,50.0,54.0,20.42129909271,-69.75755750383945,90.17885659654945
1to2,0,58,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,11,14.0,11.0,-14.0,0.0,50.0,54.0,20.42129909271,-76.95188565099497,97.37318474370497
1to2,0,59,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,5,13.0,9.0,-12.0,0.0,50.0,54.0,20.42129909271,-76.84853513555802,97.26983422826802
1to2,0,60,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,7,12.0,9.0,-15.0,0.0,50.0,54.0,20.42129909271,-82.00755581783729,102.42885491054729
1to2,0,61,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,11,16.0,10.0,-14.0,0.0,50.0,54.0,20.42129909271,-76.68451306019618,97.10581215290618
1to2,0,62,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,5,20.0,9.0,-14.0,0.0,50.0,54.0,20.42129909271,-71.83786160121294,92.25916069392294
1to2,0,63,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,15.0,13.0,-15.0,0.0,50.0,54.0,20.42129909271,-75.89604400898239,96.31734310169239
1to2,1,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,8,25.0,18.0,-15.0,0.0,50.0,54.0,20.42000689423053,-53.71338022559044,74.13338711982097
1to2,1,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,4,25.0,18.0,-13.0,0.0,50.0,54.0,20.42000689423053,-57.10167453691672,77.52168143114724
1to2,1,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,10,25.0,18.0,-15.0,0.0,50.0,54.0,20.42000689423053,-55.7542643233496,76.17427121758013
1to2,1,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,26.0,18.0,-10.0,0.0,50.0,54.0,20.42000689423053,-61.20780456921298,81.6278114634435
1to2,1,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,11,26.0,18.0,-10.0,0.0,50.0,54.0,20.42000689423053,-62.79282745051959,83.21283434475012
1to2,1,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,25.0,18.0,-12.0,0.0,50.0,54.0,20.42000689423053,-64.74243921224333,85.16244610647385
