link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,18.0,-12.0,0.0,51.0,54.0,20.437538203823333,-47.996788523079694,68.43432672690302
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,6,27.0,19.0,-12.0,0.0,51.0,54.0,20.437538203823333,-49.436363751383965,69.8739019552073
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,26.0,18.0,-12.0,0.0,51.0,54.0,20.437538203823333,-57.979027622676625,78.41656582649996
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,27.0,19.0,-11.0,0.0,51.0,54.0,20.437538203823333,-61.68797913668286,82.12551734050619
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,15.0,-14.0,0.0,51.0,54.0,20.437538203823333,-69.62489692958775,90.06243513341109
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,25.0,17.0,-12.0,0.0,51.0,54.0,20.437538203823333,-62.174237217669436,82.61177542149277
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,24.0,15.0,-12.0,0.0,51.0,54.0,20.437538203823333,-65.71240241503382,86.14994061885716
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,18.0,-13.0,0.0,51.0,54.0,20.437538203823333,-67.13196990264095,87.56950810646428
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,22.0,16.0,-14.0,0.0,51.0,54.0,20.437538203823333,-70.48569741227149,90.92323561609483
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,20.0,16.0,-12.0,0.0,51.0,54.0,20.437538203823333,-73.75076620237003,94.18830440619337
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,15.0,-14.0,0.0,51.0,54.0,20.437538203823333,-69.5131990393424,89.95073724316573
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,23.0,17.0,-14.0,0.0,51.0,54.0,20.437538203823333,-67.59080021949327,88.02833842331661
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,18.0,-14.0,0.0,51.0,54.0,20.437538203823333,-69.45452824140307,89.8920664452264
1to2,0,13,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23.0,19.0,-13.0,0.0,51.0,54.0,20.437538203823333,-68.02947053619194,88.46700874001527
1to2,0,14,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,19.0,15.0,-14.0,0.0,51.0,54.0,20.437538203823333,-73.49717613113698,93.93471433496032
1to2,0,15,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,13.0,12.0,-14.0,0.0,51.0,54.0,20.437538203823333,-80.26855969148164,100.70609789530498
1to2,0,16,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,5,15.0,13.0,-12.0,0.0,51.0,54.0,20.437538203823333,-77.62175286806772,98.05929107189105
