link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,18.0,-12.0,0.0,50.0,54.0,20.42129909271,-47.996788523079694,68.41808761578969
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26.0,19.0,-14.0,0.0,50.0,54.0,20.42129909271,-49.50374919614465,69.92504828885465
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,25.0,18.0,-12.0,0.0,50.0,54.0,20.42129909271,-57.979027622676625,78.40032671538663
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,26.0,18.0,-10.0,0.0,50.0,54.0,20.42129909271,-61.20780456921298,81.62910366192298
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,23.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.62489692958775,90.04619602229775
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,25.0,16.0,-12.0,0.0,50.0,54.0,20.42129909271,-64.74243921224333,85.16373830495333
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,25.0,16.0,-12.0,0.0,50.0,54.0,20.42129909271,-65.71240241503382,86.13370150774382
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-67.6875254581965,88.1088245509065
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,17.0,-15.0,0.0,50.0,54.0,20.42129909271,-70.07177815049948,90.49307724320948
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19.0,15.0,-12.0,0.0,50.0,54.0,20.42129909271,-73.75076620237003,94.17206529508003
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.5131990393424,89.9344981320524
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,16.0,-13.0,0.0,50.0,54.0,20.42129909271,-68.09374759486953,88.51504668757953
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.45452824140307,89.87582733411307
1to2,0,13,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,23.0,18.0,-15.0,0.0,50.0,54.0,20.42129909271,-68.07591669980526,88.49721579251526
1to2,0,14,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,19.0,15.0,-14.0,0.0,50.0,54.0,20.42129909271,-73.49717613113698,93.91847522384698
1to2,0,15,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,12.0,11.0,-14.0,0.0,50.0,54.0,20.42129909271,-80.26855969148164,100.68985878419164
1to2,0,16,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,4,15.0,13.0,-15.0,0.0,50.0,54.0,20.42129909271,-78.0115043618115,98.4328034545215
1to2,0,17,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,21.0,15.0,-15.0,0.0,50.0,54.0,20.42129909271,-70.67265984709016,91.09395893980016
1to2,0,18,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,19.0,13.0,-17.0,0.0,50.0,54.0,20.42129909271,-71.6321859429401,92.0534850356501
1to2,0,19,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,17.0,10.0,-14.0,0.0,50.0,54.0,20.42129909271,-74.21212168788877,94.63342078059877
1to2,0,20,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,7,11.0,10.0,-14.0,0.0,50.0,54.0,20.42129909271,-81.87602619435827,102.29732528706828
1to2,0,21,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,7,9.0,7.0,-18.0,0.0,50.0,54.0,20.42129909271,-84.20630943741692,104.62760853012692
1to2,0,22,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,9,10.0,8.0,-14.0,0.0,50.0,54.0,20.42129909271,-83.99509148958074,104.41639058229075
1to2,0,23,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,8,16.0,14.0,-15.0,0.0,50.0,54.0,20.42129909271,-75.20645560717037,95.62775469988037
1to2,0,24,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,5,13.0,10.0,-25.0,0.0,50.0,54.0,20.42129909271,-76.94241229876532,97.36371139147532
1to2,0,25,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,11,14.0,13.0,-15.0,0.0,50.0,54.0,20.42129909271,-77.67927477617332,98.10057386888332
1to2,0,26,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,12.0,8.0,-14.0,0.0,50.0,54.0,20.42129909271,-79.618345988505,100.039645081215
1to2,0,27,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,15.0,12.0,-14.0,0.0,50.0,54.0,20.42129909271,-75.9477083346784,96.3690074273884
1to2,0,28,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,9,9.0,8.0,-15.0,0.0,50.0,54.0,20.42129909271,-84.06725557008292,104.48855466279292
1to2,0,29,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,17.0,13.0,-14.0,0.0,50.0,54.0,20.42129909271,-73.49517764900529,93.91647674171529
1to2,0,30,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,8,16.0,11.0,-14.0,0.0,50.0,54.0,20.42129909271,-74.20102924930205,94.62232834201205
1to2,0,31,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,18.0,12.0,-15.0,0.0,50.0,54.0,20.42129909271,-72.78385846685397,93.20515755956397
1to2,0,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,6,26.0,18.0,-12.0,0.0,50.0,54.0,20.42129909271,-58.833123793556425,79.25442288626643
1to2,0,33,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,24.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-67.74597767534827,88.16727676805827
1to2,0,34,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,23.0,17.0,-15.0,0.0,50.0,54.0,20.42129909271,-70.14336362413948,90.56466271684948
1to2,0,35,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,11,25.0,19.0,-11.0,0.0,50.0,54.0,20.42129909271,-63.29687814863993,83.71817724134993
1to2,0,36,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,6,25.0,19.0,-12.0,0.0,50.0,54.0,20.42129909271,-58.802033566204415,79.22333265891442
1to2,0,37,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,23.0,17.0,-13.0,0.0,50.0,54.0,20.42129909271,-67.14891035152985,87.57020944423985
1to2,0,38,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,8,18.0,13.0,-13.0,0.0,50.0,54.0,20.42129909271,-75.0014417118141,95.4227408045241
1to2,0,39,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,10,16.0,13.0,-13.0,0.0,50.0,54.0,20.42129909271,-76.47843696310697,96.89973605581697
1to2,0,40,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,8,18.0,15.0,-13.0,0.0,50.0,54.0,20.42129909271,-74.9578565416851,95.3791556343951
1to2,0,41,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-68.60578543438801,89.02708452709801
1to2,0,42,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23.0,18.0,-13.0,0.0,50.0,54.0,20.42129909271,-68.09374759486953,88.51504668757953
1to2,0,43,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,9,16.0,10.0,-16.0,0.0,50.0,54.0,20.42129909271,-76.85598230602092,97.27728139873092
1to2,0,44,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,11,14.0,8.0,-17.0,0.0,50.0,54.0,20.42129909271,-79.99843616845466,100.41973526116466
1to2,0,45,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,9,16.0,12.0,-13.0,0.0,50.0,54.0,20.42129909271,-75.51405194848677,95.93535104119677
