link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,18.0,-13.0,0.0,50.0,52.0,20.42129909271,-49.181142023545604,69.6024411162556
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26.0,18.0,-13.0,0.0,50.0,52.0,20.42129909271,-49.17984982506613,69.60114891777613
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,4,26.0,18.0,-14.0,0.0,50.0,52.0,20.42129909271,-58.02186705385771,78.4431661465677
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,10,26.0,18.0,-11.0,0.0,50.0,52.0,20.42129909271,-61.969209580990196,82.3905086737002
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23.0,16.0,-14.0,0.0,50.0,52.0,20.42129909271,-69.09553772758385,89.51683682029385
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,25.0,15.0,-13.0,0.0,50.0,52.0,20.42129909271,-65.57658794022527,85.99788703293527
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,25.0,15.0,-11.0,0.0,50.0,52.0,20.42129909271,-65.52986273249414,85.95116182520414
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,18.0,-14.0,0.0,50.0,52.0,20.42129909271,-68.07112334179175,88.49242243450175
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,16.0,-14.0,0.0,50.0,52.0,20.42129909271,-69.93351253497323,90.35481162768323
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19.0,15.0,-12.0,0.0,50.0,52.0,20.42129909271,-74.0441647353765,94.4654638280865
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,16.0,-14.0,0.0,50.0,52.0,20.42129909271,-69.88433305995743,90.30563215266743
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,16.0,-13.0,0.0,50.0,52.0,20.42129909271,-68.47180199782002,88.89310109053002
