link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,19.0,-13.0,0.0,52.0,54.0,20.453777314936666,-48.79749422480614,69.2512715397428
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,6,27.0,19.0,-11.0,0.0,52.0,54.0,20.453777314936666,-48.766720894244095,69.22049820918076
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,27.0,18.0,-12.0,0.0,52.0,54.0,20.453777314936666,-57.979027622676625,78.4328049376133
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,4,25.0,17.0,-15.0,0.0,52.0,54.0,20.453777314936666,-65.14291903709791,85.59669635203457
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,23.0,15.0,-12.0,0.0,52.0,54.0,20.453777314936666,-68.60609765730521,89.05987497224189
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,24.0,16.0,-14.0,0.0,52.0,54.0,20.453777314936666,-65.76983647251765,86.22361378745433
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,23.0,15.0,-12.0,0.0,52.0,54.0,20.453777314936666,-65.71240241503382,86.16617972997048
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,23.0,18.0,-14.0,0.0,52.0,54.0,20.453777314936666,-67.6875254581965,88.14130277313316
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,17.0,-14.0,0.0,52.0,54.0,20.453777314936666,-69.5623785143582,90.01615582929486
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19.0,15.0,-13.0,0.0,52.0,54.0,20.453777314936666,-74.17184743029831,94.62562474523497
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,16.0,-14.0,0.0,52.0,54.0,20.453777314936666,-69.5131990393424,89.96697635427907
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,17.0,-14.0,0.0,52.0,54.0,20.453777314936666,-68.57784164742513,89.03161896236179
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,18.0,-14.0,0.0,52.0,54.0,20.453777314936666,-69.45452824140307,89.90830555633974
1to2,0,13,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,18.0,-13.0,0.0,52.0,54.0,20.453777314936666,-68.02947053619194,88.4832478511286
