link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,6,26.0,20.0,-11.0,0.0,50.0,54.0,20.42129909271,-48.76801309272357,69.18931218543358
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,6,27.0,19.0,-11.0,0.0,50.0,54.0,20.42129909271,-48.766720894244095,69.18801998695409
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,26.0,18.0,-11.0,0.0,50.0,54.0,20.42129909271,-57.39685417513893,77.81815326784893
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,4,25.0,18.0,-15.0,0.0,50.0,54.0,20.42129909271,-65.14291903709791,85.56421812980791
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,24.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-68.71748332463336,89.13878241734336
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,24.0,16.0,-13.0,0.0,50.0,54.0,20.42129909271,-65.25613784238048,85.67743693509048
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,4,24.0,15.0,-16.0,0.0,50.0,54.0,20.42129909271,-65.6573265385201,86.0786256312301
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,18.0,-12.0,0.0,50.0,54.0,20.42129909271,-67.66109380192927,88.08239289463927
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,16.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.5623785143582,89.9836776070682
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19.0,15.0,-13.0,0.0,50.0,54.0,20.42129909271,-74.17184743029831,94.59314652300831
