link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26.0,19.0,-13.0,0.0,50.0,54.0,20.42129909271,-48.79749422480614,69.21879331751614
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,19.0,-12.0,0.0,50.0,54.0,20.42129909271,-47.99549632460022,68.41679541731023
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,26.0,18.0,-12.0,0.0,50.0,54.0,20.42129909271,-57.979027622676625,78.40032671538663
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,11,27.0,19.0,-8.0,0.0,50.0,54.0,20.42129909271,-61.80391423091782,82.22521332362783
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,24.0,17.0,-13.0,0.0,50.0,54.0,20.42129909271,-66.29393396020548,86.71523305291548
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,13.0,-13.0,0.0,50.0,54.0,20.42129909271,-68.22171296290111,88.64301205561111
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,25.0,15.0,-11.0,0.0,50.0,54.0,20.42129909271,-66.03639781243875,86.45769690514875
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,18.0,-12.0,0.0,50.0,54.0,20.42129909271,-66.57641434708539,86.99771343979539
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,17.0,-15.0,0.0,50.0,54.0,20.42129909271,-70.07177815049948,90.49307724320948
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,4,16.0,12.0,-15.0,0.0,50.0,54.0,20.42129909271,-78.24697409907454,98.66827319178454
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,15.0,-15.0,0.0,50.0,54.0,20.42129909271,-69.08987948694362,89.51117857965362
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,15.0,-14.0,0.0,50.0,54.0,20.42129909271,-68.57784164742513,88.99914074013513
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22.0,19.0,-14.0,0.0,50.0,54.0,20.42129909271,-69.45452824140307,89.87582733411307
1to2,0,13,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,22.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-68.51356458874754,88.93486368145754
1to2,0,14,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,5,18.0,15.0,-16.0,0.0,50.0,54.0,20.42129909271,-73.78938916507596,94.21068825778596
1to2,0,15,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,4,6,13.0,11.0,-13.0,0.0,50.0,54.0,20.42129909271,-79.35448290903747,99.77578200174747
1to2,0,16,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,14,14.0,12.0,-11.0,0.0,50.0,54.0,20.42129909271,-79.73760994750056,100.15890904021056
1to2,0,17,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,20.0,15.0,-14.0,0.0,50.0,54.0,20.42129909271,-70.180914149865,90.602213242575
1to2,0,18,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,11,20.0,14.0,-14.0,0.0,50.0,54.0,20.42129909271,-71.31214698015255,91.73344607286255
